,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_max_features,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,Iteration,overfit_factor
0,0.0868255615234375,0.002362453439915279,0.004608345031738281,0.0005729733190929702,37,14,12,"{'n_estimators': 37, 'max_features': 14, 'max_depth': 12}",0.6358662613981763,0.6556231003039513,0.6948529411764706,0.7956495098039216,0.6201501877346683,0.6804284000834377,0.06279891957077346,8,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,4.965068306494546e-17,0,1.4696623478346504
1,0.17807679176330565,0.002256112917636658,0.011003208160400391,0.000984519219766446,128,12,2,"{'n_estimators': 128, 'max_features': 12, 'max_depth': 2}",0.5823708206686931,0.5993920972644378,0.6734068627450981,0.6685049019607844,0.7165206508135169,0.648039066690506,0.049861706797695436,9,0.7970418747598924,0.7886285055704956,0.813012805766429,0.7773560309792193,0.8179252479023645,0.7987928929956802,0.015061027940928383,0,1.2326307688131586
2,0.06974549293518066,0.00152340229333126,0.005594396591186523,0.0007490277410818985,62,1,6,"{'n_estimators': 62, 'max_features': 1, 'max_depth': 6}",0.660790273556231,0.6376899696048632,0.6525735294117648,0.7395833333333334,0.7315394242803503,0.6844353060373086,0.04247231973661744,6,0.9846331156358048,0.9830964271993854,0.9796411318150449,0.977839122766659,0.9868802440884821,0.9824180083010752,0.003284988179105866,0,1.435370150597584
3,0.03975939750671387,0.0006087022528678118,0.0037985801696777343,0.0002806667563785141,30,14,1,"{'n_estimators': 30, 'max_features': 14, 'max_depth': 1}",0.5507598784194528,0.5349544072948328,0.6596200980392155,0.6580882352941176,0.6417396745932415,0.6090324587281721,0.05462342309887407,10,0.680945063388398,0.6857087975412985,0.6783605551721494,0.6778237865194388,0.6984363081617087,0.6842549021565987,0.007619497299094131,0,1.1235113865449993
4,0.10609283447265624,0.0027335267370710435,0.006485986709594727,0.00062615875378424,67,5,19,"{'n_estimators': 67, 'max_features': 5, 'max_depth': 19}",0.6419452887537994,0.6498480243161093,0.6924019607843136,0.799938725490196,0.7133917396745932,0.6995051478038024,0.05676119010985729,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,1.429582045449765
5,0.08227744102478027,0.0014105674726875887,0.006503868103027344,0.00040567052318597735,62,2,13,"{'n_estimators': 62, 'max_features': 2, 'max_depth': 13}",0.6702127659574468,0.6680851063829787,0.694546568627451,0.7830882352941176,0.6839799749687109,0.699982530246141,0.04265178584903336,2,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,4.965068306494546e-17,0,1.4286070820201202
6,0.15933446884155272,0.0029067374403380277,0.007406949996948242,0.000651785081798458,70,13,14,"{'n_estimators': 70, 'max_features': 13, 'max_depth': 14}",0.6595744680851063,0.6708206686930092,0.6510416666666666,0.7956495098039215,0.6698998748435544,0.6893972376184516,0.05361963971991843,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,1.4505425108092065
7,0.09938197135925293,0.0031622395637745213,0.004355812072753906,0.000654643335074256,46,13,8,"{'n_estimators': 46, 'max_features': 13, 'max_depth': 8}",0.6322188449848024,0.6370820668693009,0.6587009803921569,0.7922794117647058,0.6939924906132665,0.6828547589248465,0.05889031134617739,7,0.9995005762581637,0.9999231655781791,0.999348209493137,0.9997316156736447,0.9990083905415713,0.999502391508939,0.000315406683480936,0,1.4637115410642427
8,0.17044954299926757,0.01370627337484137,0.006614875793457031,0.0011475437905133202,79,14,11,"{'n_estimators': 79, 'max_features': 14, 'max_depth': 11}",0.6620060790273555,0.6595744680851063,0.6838235294117646,0.8121936274509804,0.6999374217772214,0.7035070251504857,0.05633002341874597,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,1.421449913433476
9,0.16925716400146484,0.005823403188539505,0.007036590576171875,0.0014354096049841519,83,14,14,"{'n_estimators': 83, 'max_features': 14, 'max_depth': 14}",0.6696048632218845,0.6750759878419453,0.6605392156862745,0.8109681372549019,0.6680225281602004,0.6968421464330413,0.05725181257533377,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,1.435045232437141
0,0.1794816493988037,0.0011205523124663587,0.008465719223022462,0.0005453863722241604,78,13,19,"{'n_estimators': 78, 'max_features': 13, 'max_depth': 19}",0.7319240196078431,0.8115808823529411,0.7185410334346504,0.6465045592705168,0.6598873591989988,0.71368757077299,0.058902027839373094,4,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,4.965068306494546e-17,1,1.4011733438441516
1,0.1673748016357422,0.00316026553390809,0.008370399475097656,0.0006482040037959964,85,10,10,"{'n_estimators': 85, 'max_features': 10, 'max_depth': 10}",0.7457107843137255,0.795343137254902,0.7075987841945289,0.5993920972644378,0.665206508135169,0.7026502622325526,0.06713411780146959,5,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,4.965068306494546e-17,1,1.4231831307123815
2,0.13470835685729982,0.005388281000146605,0.008027887344360352,0.001486755645279006,105,7,3,"{'n_estimators': 105, 'max_features': 7, 'max_depth': 3}",0.7444852941176471,0.7120098039215687,0.7185410334346505,0.6310030395136779,0.6526908635794744,0.6917460069134036,0.042720111515847016,8,0.8703320297523197,0.8562226823096388,0.8781790242028428,0.8879754129850173,0.8906178489702518,0.8766653996440141,0.012513149639304859,1,1.26732267462696
3,0.1741091251373291,0.014819496247627224,0.006799554824829102,0.0009047533999068923,78,15,19,"{'n_estimators': 78, 'max_features': 15, 'max_depth': 19}",0.7294730392156863,0.7787990196078431,0.7264437689969605,0.568693009118541,0.6530037546933668,0.6912825183264796,0.07327676158804401,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.4465865597482375
4,0.04027204513549805,0.005557000297945171,0.003443622589111328,0.0005793509384890079,33,2,7,"{'n_estimators': 33, 'max_features': 2, 'max_depth': 7}",0.7518382352941176,0.7408088235294118,0.7379939209726444,0.5525835866261397,0.6939924906132665,0.695443411407116,0.07410799869131411,7,0.9919484702093397,0.9939038417299286,0.9975028812908183,0.9957741067998463,0.9904271548436309,0.9939112909747128,0.0025440726886332902,1,1.4291763710345546
5,0.08272356986999511,0.0042225041404464975,0.004140806198120117,0.0006212300561431231,40,15,5,"{'n_estimators': 40, 'max_features': 15, 'max_depth': 5}",0.7506127450980392,0.7867647058823529,0.7033434650455929,0.5848024316109423,0.6764705882352942,0.7003987871744443,0.06917262570759275,6,0.9667203435319377,0.9751169388850548,0.9850172877449097,0.9812524010756819,0.9824942791762015,0.9781202500827572,0.00656489720229629,1,1.3965190517086696
6,0.03109402656555176,0.004747387637282565,0.0029833316802978516,0.00048544940785831867,28,2,11,"{'n_estimators': 28, 'max_features': 2, 'max_depth': 11}",0.7028186274509804,0.7031249999999999,0.7021276595744681,0.5972644376899696,0.6542553191489361,0.6719182087728709,0.04177672514134091,10,0.9997316156736447,1.0,1.0,1.0,0.9999237223493517,0.9999310676045992,0.00010400966391948723,1,1.488173790424255
7,0.16710929870605468,0.004452660414439456,0.007461261749267578,0.0009977736398692877,82,12,7,"{'n_estimators': 82, 'max_features': 12, 'max_depth': 7}",0.7647058823529412,0.7855392156862746,0.7471124620060791,0.6151975683890578,0.690863579474343,0.7206837415817391,0.06141536202876162,1,0.9989648033126294,0.9980829690974619,0.9999231655781791,0.9993084902036112,0.9988176964149504,0.9990194249213664,0.0006034788037275272,1,1.386210576540471
8,0.21736154556274415,0.019280269500942904,0.00955028533935547,0.000993569275731795,129,8,11,"{'n_estimators': 129, 'max_features': 8, 'max_depth': 11}",0.7205882352941176,0.8033088235294118,0.7398176291793312,0.6413373860182371,0.6708385481852315,0.7151781244412658,0.056252728446477086,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.398253058678566
9,0.03761439323425293,0.0023736456221734327,0.0031162261962890624,0.000436397829449926,28,3,16,"{'n_estimators': 28, 'max_features': 3, 'max_depth': 16}",0.7356004901960785,0.7904411764705882,0.7553191489361702,0.5817629179331307,0.7093241551939926,0.7144895777459921,0.07144846768418599,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.3996005416268082
0,0.274201488494873,0.0036858456196773716,0.010583209991455077,0.0016051108055127987,113,15,15,"{'n_estimators': 113, 'max_features': 15, 'max_depth': 15}",0.7799392097264437,0.6465045592705168,0.6038602941176471,0.7172181372549019,0.7187108886107635,0.6932466177960546,0.06150350107895572,7,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,4.965068306494546e-17,2,1.4424881049966967
1,0.11877884864807128,0.003203594179949595,0.005790138244628906,0.0007233956422807512,55,15,6,"{'n_estimators': 55, 'max_features': 15, 'max_depth': 6}",0.7696048632218845,0.6316109422492401,0.602328431372549,0.7248774509803921,0.7133917396745932,0.6883626854997317,0.0619398520134235,9,0.9902420284287361,0.9932001536688436,0.9960125757227206,0.990146461160954,0.9929824561403509,0.992516735024321,0.0021770322769101413,2,1.4418514482721883
2,0.17091746330261232,0.0018271414557490798,0.011652231216430664,0.001087612510785669,118,4,14,"{'n_estimators': 118, 'max_features': 4, 'max_depth': 14}",0.7583586626139818,0.6747720364741642,0.622549019607843,0.7221200980392156,0.7603254067584481,0.7076250446987306,0.05268507362433551,3,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,4.965068306494546e-17,2,1.4131777944995534
3,0.20560770034790038,0.006797595015611134,0.012558269500732421,0.0009721709672841139,136,4,17,"{'n_estimators': 136, 'max_features': 4, 'max_depth': 17}",0.8206686930091186,0.6711246200607903,0.5919117647058824,0.7383578431372548,0.7312265331664581,0.7106578908159008,0.07610026934075727,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2,1.4071468324258072
4,0.12854180335998536,0.0023101979233614823,0.007199001312255859,0.0009693322148194889,75,7,8,"{'n_estimators': 75, 'max_features': 7, 'max_depth': 8}",0.7756838905775075,0.6735562310030395,0.6047794117647058,0.7107843137254902,0.7352941176470588,0.7000195929435604,0.05806248165413741,5,0.999923165578179,0.9998847483672685,0.9998466375277969,0.9997316156736447,1.0,0.999877233429378,8.874514907940913e-05,2,1.428356068185071
5,0.041247892379760745,0.0009487039192833164,0.0027229785919189453,0.00020734215353829832,19,12,20,"{'n_estimators': 19, 'max_features': 12, 'max_depth': 20}",0.7741641337386019,0.6832826747720364,0.5223651960784313,0.7576593137254902,0.740613266583229,0.6956169169795579,0.09188241187328876,6,1.0,0.9999807913945448,0.9999233187638985,0.9999424890729238,0.9995041952707857,0.9998701589004305,0.00018497851932102754,2,1.4373862027996276
6,0.03723840713500977,0.001919832830525294,0.0024637699127197264,0.00022634467932319217,16,13,11,"{'n_estimators': 16, 'max_features': 13, 'max_depth': 11}",0.7544072948328268,0.6404255319148936,0.6308210784313725,0.7634803921568628,0.7127659574468085,0.7003800509565529,0.055654293333619376,4,0.9997310795236266,0.9995774106799846,0.9999616593819493,0.9995782532014417,1.0,0.9997696805574006,0.00018166182476997384,2,1.4274673860169953
7,0.07954554557800293,0.002735538730126207,0.0041198253631591795,0.0006620127844573742,46,8,9,"{'n_estimators': 46, 'max_features': 8, 'max_depth': 9}",0.764741641337386,0.6458966565349543,0.6158088235294118,0.7322303921568627,0.681476846057572,0.6880308719232373,0.05453881437770251,10,1.0,1.0,0.9997316156736447,1.0,1.0,0.9999463231347289,0.00010735373054213682,2,1.453345138917388
8,0.1835099220275879,0.015383416750542448,0.008769798278808593,0.00031426149618298514,136,6,7,"{'n_estimators': 136, 'max_features': 6, 'max_depth': 7}",0.8182370820668694,0.6693009118541033,0.5857843137254902,0.7432598039215687,0.7559449311639549,0.7145054085463973,0.07989602762668131,1,0.9991164041490588,0.9986553976181329,0.9987731002223756,0.9988881220765279,0.9992372234935164,0.9989340495119224,0.00021486207568609212,2,1.398077659823698
9,0.06453824043273926,0.005766813591542946,0.004245662689208984,0.0006146493967649362,49,10,3,"{'n_estimators': 49, 'max_features': 10, 'max_depth': 3}",0.7623100303951368,0.6486322188449849,0.6127450980392157,0.7095588235294118,0.7115143929912391,0.6889521127599977,0.05243716246270877,8,0.880945063388398,0.8935074913561276,0.8972471436239551,0.8761214630779848,0.8743325705568268,0.8844307464006584,0.009271619788832263,2,1.283733266826859
