,amp Fixation,amp Pursuit,amp Saccade,avg_vel Fixation,avg_vel Pursuit,avg_vel Saccade,count Fixation,count Pursuit,count Saccade,duration Fixation,duration Pursuit,duration Saccade,peak_vel Fixation,peak_vel Pursuit,peak_vel Saccade
0,0.062032487237662776,0.08199241579880708,0.06006785934813744,0.07673329939736555,0.08285026267930473,0.0650099651090115,0.049092801941092334,0.05589052219705212,0.059846972242802714,0.06208739272449836,0.07459072851421833,0.07714455440470742,0.0637399657945646,0.07171387904285792,0.057206893567917125
0,0.05291618296699552,0.07981965796262025,0.06719831519479111,0.06416523302035536,0.07540172531135161,0.06723127830919877,0.05059475821081177,0.06388192629185321,0.06969270844060635,0.07586976156504976,0.06612842929336303,0.07304645258741034,0.06422684599560852,0.0694782779838777,0.060348446866106596
0,0.05657924459990378,0.06222917783887606,0.06921621201443973,0.07920450143773995,0.08570585284036282,0.05043391202260485,0.05313629179981781,0.05622691416343613,0.05871628474763774,0.07990498777720122,0.0653814882167924,0.08102485429447746,0.061600175729692,0.09046507759516638,0.05017502492185169
0,0.05145529600902694,0.0799168899809559,0.05280974236664097,0.0705509462888421,0.08542481518062547,0.046232627996760936,0.043256195728445565,0.05366257916335408,0.05874401455042675,0.0706567708846225,0.08227014672270326,0.08081642638470618,0.06430837716088761,0.10191166101473463,0.05798351056726707
0,0.056359676261721725,0.07812421571303736,0.06254382634457903,0.08516575002907853,0.07520694517549163,0.05829367233911801,0.04759810589804864,0.04991191849250045,0.06344173497513689,0.06290779221818359,0.07056681974275425,0.0795171722016919,0.07225998367583078,0.08274711388604453,0.05535527304678284
0,0.05741052475011239,0.09628031954255181,0.07084017632632122,0.07398170938630552,0.06625941263620419,0.04383669296913337,0.05225139002274656,0.0478982305224061,0.06149898689132245,0.0735801003215228,0.0792132541052379,0.07593478601021454,0.07167587797085863,0.07483828188580247,0.05450025665926003
0,0.055412254346189606,0.07553592506409552,0.0634468868192551,0.07683186991504681,0.07953177950211061,0.06900426433445388,0.04898824195180201,0.04855097587967464,0.06692333882347225,0.06316134539280241,0.07573691811163016,0.07080446088580457,0.06547316598976176,0.07166575672111261,0.06893281626278797
0,0.0650069874668138,0.07372008027179634,0.06524606208320065,0.06945543435738555,0.07415897166670553,0.060894565826952025,0.05653813669842097,0.05861072611994797,0.061786931514364166,0.06589064993396787,0.07009301661573805,0.07695935039445526,0.06527686390555734,0.07595232724651854,0.060409895898175914
0,0.06226351911089375,0.0866524577034334,0.05927451763758242,0.08228995736498916,0.08845329863503881,0.05865809652286381,0.04690155033308986,0.05133010901505366,0.05606992954242777,0.06368331025733392,0.0809820485661128,0.07642249942572844,0.05678468550792753,0.07663350163641422,0.053600518741110555
0,0.06233931502233162,0.07855929152492262,0.06422008533398828,0.06768086537191197,0.07441997890683848,0.06495252504440853,0.0573818555711232,0.059106364457626015,0.06398288421203763,0.06407304078416325,0.07115110335685605,0.0696208118940389,0.06907437913712076,0.06745507349243085,0.06598242589020202
0,0.06441305048133036,0.0783856108116713,0.07433789701691142,0.0769084393815704,0.10142044207291438,0.04903384310980069,0.044610801600949,0.043522725895359604,0.06029013625716014,0.07016286576980633,0.06195620150735692,0.07463164635655399,0.07012780552444857,0.08003291062997976,0.05016562358418716
0,0.06250776229280758,0.09655562550768929,0.06383718868997398,0.06771314390315099,0.07519984796025005,0.04627112858817479,0.04687571306558255,0.05523129319530941,0.06612967844250792,0.0830841654046406,0.06985756791560824,0.08075816222460791,0.0783977329439467,0.06748223244940574,0.040098757416344326
