,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,overfit_factor
0,0.011983156204223633,0.0013060384528304368,0.0022108078002929686,0.0003348983690115677,1,1,10,"{'max_depth': 1, 'max_features': 1, 'n_estimators': 10}",0.621251629726206,0.5591047370708387,0.6019009725906278,0.6564986737400531,0.49248452696728556,0.5862481080190023,0.056451346137011596,4720,0.7156102123913283,0.6544651700231099,0.6712689020381328,0.6468332237563006,0.6728851632697787,0.6722125342957301,0.023848604478020695,1.1466348890527105
1,0.020404291152954102,0.002976855709002581,0.0028759002685546874,0.0006356636301108083,1,1,20,"{'max_depth': 1, 'max_features': 1, 'n_estimators': 20}",0.6625380269448067,0.6060408518035637,0.6061007957559682,0.6556145004420866,0.47634836427939875,0.6013285078451648,0.06687090761137884,4686,0.6790882579509189,0.6786893364146583,0.6730495288187597,0.6845277229892616,0.7254821389436774,0.6881673970234552,0.019007638095802425,1.1444117284402062
2,0.02923870086669922,0.00426031912608388,0.003086757659912109,0.00042182574975330075,1,1,30,"{'max_depth': 1, 'max_features': 1, 'n_estimators': 30}",0.7090395480225988,0.6351586266840504,0.6109637488947834,0.6405835543766578,0.5605658709106985,0.6312622697777578,0.0480861387880067,4443,0.7261197314845383,0.6761444921316166,0.6958278544817007,0.7331525312294542,0.7400558842866536,0.7142600987227927,0.02431273140433011,1.131479153623826
3,0.04180002212524414,0.003990541925693022,0.0042019844055175785,0.0008682898746990662,1,1,40,"{'max_depth': 1, 'max_features': 1, 'n_estimators': 40}",0.6699261190786614,0.6305953933072577,0.6651193633952254,0.6547303271441204,0.5238726790450929,0.6288487763940716,0.054214001730044814,4458,0.6801337074942224,0.7204385385715857,0.7227701073854921,0.7195375849222003,0.7344674556213017,0.7154694787989604,0.018461202979520638,1.1377448850287775
4,0.04612774848937988,0.003545851935864449,0.004442739486694336,0.0007780202172277623,1,1,50,"{'max_depth': 1, 'max_features': 1, 'n_estimators': 50}",0.6327683615819208,0.621903520208605,0.6423519009725907,0.6308576480990274,0.5114942528735633,0.6078751367471414,0.048626301650373696,4636,0.7414850885880929,0.7459695168922637,0.7319882752575062,0.7420556651325884,0.7245644312952005,0.7372125954331303,0.007818731005372764,1.212769779297273
5,0.06361961364746094,0.004948731732316114,0.00619816780090332,0.0012417660669934625,1,1,60,"{'max_depth': 1, 'max_features': 1, 'n_estimators': 60}",0.6857887874837028,0.5993046501521078,0.6419098143236075,0.6476569407603889,0.5247568523430592,0.6198834090125732,0.05490464025586753,4502,0.7314020028612304,0.7210300429184548,0.7593140477755863,0.7560678281832127,0.717674775367083,0.7370977394211135,0.017443006868359826,1.189090930172262
6,0.06678404808044433,0.003774255366544059,0.006449222564697266,0.0010705219873883055,1,1,70,"{'max_depth': 1, 'max_features': 1, 'n_estimators': 70}",0.7014341590612777,0.6305953933072577,0.5910698496905393,0.6551724137931035,0.4721485411140584,0.6100840713932473,0.0776997588211758,4607,0.7566991306261692,0.7532739077803456,0.7264957264957266,0.7418639053254438,0.72770107385492,0.741206748816521,0.01252900241968753,1.2149255874257285
7,0.08412299156188965,0.007090478569119217,0.007403230667114258,0.0015878033739511492,1,1,80,"{'max_depth': 1, 'max_features': 1, 'n_estimators': 80}",0.686657974793568,0.6114732724902217,0.6211317418213971,0.6423519009725907,0.5053050397877985,0.6133839859731152,0.05992153985388486,4552,0.7426818531968746,0.7289259381534059,0.7147161954854264,0.7483837387683543,0.7379465264080649,0.7345308504024253,0.011781712914584784,1.1975057503940445
8,0.08433098793029785,0.011503957797229191,0.008239936828613282,0.0017485321875666579,1,1,90,"{'max_depth': 1, 'max_features': 1, 'n_estimators': 90}",0.6923076923076923,0.6197305519339418,0.6582670203359858,0.6480990274093722,0.4924845269672856,0.6221777637908555,0.06887507204059348,4485,0.724524045339496,0.7330527126664466,0.7477810650887573,0.7411790488713567,0.7193184308568924,0.7331710605645897,0.010433219419374723,1.1783948305986782
9,0.10555520057678222,0.009984252070202856,0.007750606536865235,0.0017532558090790587,1,1,100,"{'max_depth': 1, 'max_features': 1, 'n_estimators': 100}",0.7036071273359409,0.6140808344198175,0.6578249336870026,0.6702033598585323,0.5251989389920424,0.6341830388586671,0.06157554615908409,4413,0.792148123693188,0.7270551337074942,0.7097578347578346,0.7702717510409818,0.7267148805610345,0.7451895447521066,0.030853853446561573,1.1750385915290589
