,Blink duration PC1,Blink count PC1,Saccade amp PC0,Fixation amp PC0,Fixation med_vel PC0,Fixation peak_vel PC0,Saccade peak_vel PC1,Fixation peak_vel PC1,Saccade amp PC1,Saccade med_vel PC1,Saccade med_vel PC0,Saccade count PC1,Fixation duration PC0,Saccade duration PC1,Saccade peak_vel PC0,Fixation med_vel PC1,Fixation duration PC1,Saccade duration PC0,Blink duration PC0,Fixation amp PC1,Fixation count PC1
0,0.02148,0.01214,0.01183,0.01435,0.00642,0.02749,-0.00129,0.04137,0.01992,0.00714,0.01133,0.01272,0.01716,0.01415,0.01913,0.00915,-0.01246,0.00304,0.02395,0.01453,0.00229
0,0.00966,0.02255,0.03769,-0.02183,0.03977,0.02482,0.00297,0.04551,0.02193,0.02319,0.0146,-0.01099,-0.00986,0.0152,-0.02636,0.01239,0.0099,-6e-05,0.00548,0.01038,0.00143
0,0.03564,0.02284,0.00939,0.01532,0.00863,0.01817,0.00896,-0.0092,0.01222,-0.00672,0.00256,-0.00054,0.00825,0.01217,0.0142,0.01532,0.01661,-0.00409,0.01948,-0.00163,-0.01323
0,0.00988,0.01201,-0.0042,-0.00468,-0.0162,-0.00729,0.00184,-0.00074,0.05392,0.00866,0.00424,-0.00204,0.02276,0.01222,0.02956,0.01143,0.00051,0.0045,0.0136,0.00887,-0.0056
0,0.02209,-0.00717,0.01865,0.00498,0.01729,0.00747,0.02552,0.00505,0.0225,-0.00543,0.0411,0.00903,-0.00072,0.02414,0.01449,0.00392,0.01067,-0.01323,0.00982,0.00444,-0.0002
0,0.0314,0.02207,0.00938,-0.00432,0.02637,0.00913,0.00057,-0.03057,0.00828,0.00074,0.00784,-0.00116,0.00818,-0.00171,0.02078,-0.00638,0.00156,-0.00141,0.00601,0.00539,0.0026
0,0.00014,0.01999,0.0017,0.01014,0.01085,0.00221,-0.00727,0.0059,0.01609,-0.01412,0.00989,-0.01108,0.00603,-0.00487,0.02074,0.03567,-0.00688,-0.00042,-0.00335,-0.0039,-0.00596
0,0.02199,0.01179,0.01272,0.0172,0.0224,-0.01166,-0.00642,0.01075,0.01071,0.00746,-0.00641,-0.01023,0.0159,0.00985,0.0194,0.01856,0.01628,0.00205,0.00831,0.01044,-0.00695
0,0.01964,0.01162,0.03067,-6e-05,0.01392,0.02155,-0.01353,-0.01007,0.01862,0.04061,0.0236,-0.00316,0.02115,0.0058,0.01559,0.03732,-0.00393,0.00349,0.00221,0.0209,-0.00081
0,-0.00167,0.00253,0.0194,0.00385,0.01136,0.02111,-0.01136,-0.00468,0.00907,-0.00754,0.00707,-0.00403,0.00649,-0.01338,0.01935,0.01459,-0.00458,-0.01197,-0.00883,0.021,-0.00413
0,0.00507,0.00153,0.01732,0.01442,0.00396,0.01333,-0.00078,-0.00065,0.0186,0.01142,0.03299,0.00914,-0.00041,-0.01071,0.01713,0.01732,0.00439,-0.00441,-0.00874,0.02688,-0.00553
0,0.02456,0.00454,0.0034,-0.00304,-0.00894,0.00914,-0.00208,0.01447,-0.00644,0.0,0.00306,0.00881,-0.01285,-0.01074,0.00972,0.02361,-0.00058,0.01139,0.00293,0.00699,0.00552
0,-0.00376,-0.00784,0.01532,0.00274,0.03531,0.01457,-0.00078,0.00881,0.03114,0.0149,0.00843,0.00224,0.00791,0.0026,0.02002,0.0267,-0.00905,-0.00886,-0.00113,0.01732,0.00074
0,0.0048,0.00038,0.00514,-0.00782,0.0157,0.02193,0.00055,-0.01337,0.01692,-0.00345,-0.00355,0.01552,0.00389,0.00357,0.01952,0.00808,0.01003,-0.00219,0.00106,0.00775,-0.00419
0,0.0162,0.02579,0.00935,0.01258,0.01732,0.02615,-0.00798,0.01135,0.00497,0.00823,0.00265,-0.00052,0.01227,0.00698,0.01866,0.0282,-0.02326,-0.00772,0.00962,-0.00467,-0.00277
0,0.03008,0.01876,0.0481,0.01007,0.02313,0.02582,0.00334,0.02326,0.02675,0.01071,0.02492,0.00535,0.01439,-0.00389,0.02612,0.02585,0.02083,-0.00761,0.01159,0.00502,-0.00157
0,0.00808,0.01512,-0.00399,-0.0027,0.02009,0.01885,-0.0091,0.00996,0.0189,-0.00891,0.00722,-0.0091,-0.00311,0.00132,0.02296,0.02131,0.00375,-0.01647,0.0001,-0.01319,-0.00958
0,0.0191,0.00758,0.01401,0.01251,0.03124,0.02119,0.00178,0.01602,0.05325,0.00956,0.03432,-0.00082,-0.00891,0.01607,0.03333,-0.00606,-0.00071,-0.00127,0.01573,-0.01353,-0.00362
0,0.00703,0.00491,0.02398,-0.01029,0.00822,0.01217,-0.0034,0.01787,0.01156,0.00259,0.03035,0.01357,0.0196,0.00259,0.00972,0.0399,0.00897,0.00644,-0.00385,0.02211,0.01586
0,0.01528,-0.004,0.00812,0.01471,0.02233,0.00117,0.01,-0.00273,0.04121,0.01164,0.01677,0.00133,0.00951,0.00164,0.01865,0.02162,0.01116,-0.00765,-0.01977,-0.00887,0.01017
0,0.00681,0.00132,0.03778,-0.0015,0.01167,0.01528,-0.00975,0.02305,0.00705,0.00744,0.0129,-0.00328,0.01507,0.00399,0.02285,0.03108,0.0116,-0.00136,-0.0042,-0.00887,0.00178
0,0.02316,0.00969,-0.00777,0.01217,0.01713,0.01703,0.00556,-0.00062,0.03107,0.00726,0.0233,0.00658,0.00515,0.01736,0.02555,0.0248,0.00201,-0.00698,-0.00311,0.01215,3e-05
0,0.00103,0.0086,0.01268,0.0002,0.0104,0.01815,0.0129,-0.00415,0.0382,0.01503,0.02922,0.00311,0.01285,0.02132,0.01176,0.01371,0.00398,0.00654,-0.00127,-0.00297,0.00226
0,0.00351,0.00702,-0.00812,-0.00628,0.01044,0.01805,-0.01319,-0.0135,0.03444,0.02267,-0.00187,-0.01893,0.00772,-0.00201,0.00507,-0.01245,-0.02037,-0.00722,-0.01242,0.01514,-0.024
