,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,overfit_factor
0,0.012657070159912109,0.0006649416225163889,0.002015972137451172,0.00027640476156726737,1,1,10,"{'max_depth': 1, 'max_features': 1, 'n_estimators': 10}",0.44893524554541503,0.6121251629726207,0.53315649867374,0.4347922192749779,0.6209106984969054,0.5299839649927318,0.07830105442216063,4725,0.636444921316166,0.6824859689666556,0.6612973920666229,0.6220140258601796,0.6633793556870481,0.6531243327793346,0.021354737347528092,1.2323473461848822
1,0.023795890808105468,0.0017601199592451483,0.0030986309051513673,7.925323338725396e-05,1,1,20,"{'max_depth': 1, 'max_features': 1, 'n_estimators': 20}",0.61038678835289,0.4580617122990005,0.5862068965517242,0.6328470380194519,0.5822281167108754,0.5739461103867883,0.06073772223737201,4713,0.6952789699570816,0.7167932210850665,0.7008683979837825,0.6819937541091388,0.7027586017970633,0.6995385889864265,0.011276744108792936,1.2188227715577689
2,0.03245601654052734,0.0006899553502846006,0.0035242080688476563,0.000543975917854944,1,1,30,"{'max_depth': 1, 'max_features': 1, 'n_estimators': 30}",0.5910473707083876,0.5358539765319426,0.5822281167108754,0.5415561450044208,0.6253315649867375,0.5752034347884727,0.03314732530269632,4711,0.7123775723561131,0.6930229998899526,0.7448635765943458,0.6826649134341441,0.7437541091387245,0.715336634282656,0.025508778371268886,1.2436237181819272
3,0.041689825057983396,0.0028648673708728625,0.004427433013916016,0.0005005744643267266,1,1,40,"{'max_depth': 1, 'max_features': 1, 'n_estimators': 40}",0.5278139939156888,0.5645371577574968,0.6171529619805481,0.5621131741821397,0.6425729442970821,0.5828380464265911,0.041322779827652305,4697,0.6852096401452625,0.7602206448772973,0.7426994301994302,0.722181130834977,0.7440280517203594,0.7308677795554652,0.02582593651123305,1.2539809026477453
4,0.04919271469116211,0.003040680814542037,0.004397439956665039,0.0006038252290111511,1,1,50,"{'max_depth': 1, 'max_features': 1, 'n_estimators': 50}",0.6232073011734028,0.560625814863103,0.5627763041556145,0.6357206012378427,0.6635720601237842,0.6091804163107495,0.04091571037693129,4421,0.7441950038516562,0.7607708814790359,0.7813938198553584,0.7490412009642777,0.7273723427569582,0.7525546497814573,0.017975432031516837,1.2353559465010298
5,0.0680112361907959,0.0020341880847967015,0.006475591659545898,0.000695652198194258,1,1,60,"{'max_depth': 1, 'max_features': 1, 'n_estimators': 60}",0.5584528465884397,0.56671012603216,0.5610079575596818,0.6206896551724137,0.6282051282051282,0.5870131427115647,0.030773559482569275,4688,0.7222680752723671,0.7162980081435016,0.7527394258163489,0.7513012272627657,0.7123602892833661,0.7309934051556699,0.017461821985901273,1.2452760457440926
6,0.07720847129821777,0.0025149167381247647,0.006562137603759765,0.0011019169791464357,1,1,70,"{'max_depth': 1, 'max_features': 1, 'n_estimators': 70}",0.6305953933072577,0.5245545415036941,0.5848806366047745,0.612290008841733,0.6503094606542882,0.6005260081823495,0.04367469101078162,4564,0.7404258831297459,0.770785187630681,0.7546844181459565,0.7409872890642121,0.7327142230988385,0.7479194002138868,0.013446293736141543,1.245440480550813
7,0.08972864151000977,0.004795818347499356,0.007225322723388672,0.0011421357401785231,1,1,80,"{'max_depth': 1, 'max_features': 1, 'n_estimators': 80}",0.5880052151238592,0.47109952194697957,0.6052166224580018,0.6246684350132626,0.6467727674624226,0.5871525124009052,0.0612492531063757,4687,0.7226257290634973,0.7569054693518212,0.7455073416611878,0.744959456497918,0.7454388560157791,0.7430873705180406,0.011175948073342209,1.2655781161175783
8,0.09405665397644043,0.00514170899827215,0.006456995010375976,0.0007196989114539921,1,1,90,"{'max_depth': 1, 'max_features': 1, 'n_estimators': 90}",0.5980008691873098,0.5732290308561495,0.6268788682581785,0.6096374889478338,0.6595932802829355,0.6134679075064814,0.02891529856955378,4349,0.7260922196544515,0.7376747001210521,0.7574238439623056,0.7555062458908612,0.748657681349989,0.7450709381957318,0.011740960345312211,1.2145230892748207
9,0.10713353157043456,0.00795668665365977,0.010681676864624023,0.0004951902438848326,1,1,100,"{'max_depth': 1, 'max_features': 1, 'n_estimators': 100}",0.6345067362016514,0.590612777053455,0.6264367816091954,0.6441202475685235,0.5853227232537577,0.6161998531373166,0.023780583296594084,4307,0.7668372400132057,0.7441399801914824,0.77112097304405,0.7805172035941268,0.7545748411133028,0.7634380475912337,0.01275344076586444,1.2389455201981456
