,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_max_features,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,Iteration,overfit_factor
0,0.13601274490356446,0.009630926633529924,0.010833406448364257,0.0006409067046418987,127,8,1,"{'n_estimators': 127, 'max_features': 8, 'max_depth': 1}",0.6309523809523809,0.4880952380952381,0.7301587301587302,0.6857142857142857,0.5089285714285714,0.6087698412698412,0.09558076580377026,10,0.8346517248956273,0.7642276422764228,0.8097778745644599,0.7934440464560947,0.7571909258656248,0.7918584428116459,0.028706037811583134,0,1.3007517605666825
1,0.060953617095947266,0.006024735457051063,0.005433082580566406,0.0006136369201087971,52,2,13,"{'n_estimators': 52, 'max_features': 2, 'max_depth': 13}",0.5909863945578231,0.5382653061224489,0.7098765432098766,0.7133928571428572,0.7026785714285715,0.6510399344923155,0.07258199057026125,4,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,4.965068306494546e-17,0,1.5360040867228912
2,0.025870895385742186,0.001858739467355664,0.003269815444946289,0.00031705453061532516,22,8,1,"{'n_estimators': 22, 'max_features': 8, 'max_depth': 1}",0.6309523809523809,0.4965986394557823,0.7054673721340389,0.7937500000000001,0.46964285714285714,0.6192822499370119,0.12283833213992044,9,0.7357723577235773,0.742748846407383,0.7250653310104529,0.7805817866058831,0.7339086074025832,0.743615385829976,0.01932410333246777,0,1.2007697393322838
3,0.1268671989440918,0.004000041622874862,0.009401941299438476,0.001228861513463098,100,4,9,"{'n_estimators': 100, 'max_features': 4, 'max_depth': 9}",0.6989795918367346,0.5714285714285714,0.7195767195767195,0.7017857142857142,0.6178571428571429,0.6619255479969766,0.05730134327492243,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,1.5107439243371938
4,0.16868762969970702,0.005095137535946385,0.008518075942993164,0.0015123079619892925,104,12,11,"{'n_estimators': 104, 'max_features': 12, 'max_depth': 11}",0.6598639455782312,0.6122448979591837,0.6331569664902998,0.6955357142857143,0.5616071428571429,0.6324817334341144,0.04507501099791827,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,1.5810733292966634
5,0.15398111343383789,0.0016214348641342272,0.009977436065673828,0.000308880580384848,105,9,10,"{'n_estimators': 105, 'max_features': 9, 'max_depth': 10}",0.6879251700680272,0.6785714285714286,0.7530864197530864,0.6339285714285714,0.58125,0.6669523179642226,0.05732260093076123,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,1.4993575598512923
6,0.14643340110778807,0.006118816158352648,0.008518314361572266,0.0017372691666781512,99,10,10,"{'n_estimators': 99, 'max_features': 10, 'max_depth': 10}",0.641156462585034,0.6794217687074829,0.6649029982363316,0.725,0.5589285714285714,0.653881960191484,0.05478978921609045,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,1.529328014657505
7,0.13193798065185547,0.006596588679946655,0.007389640808105469,0.0008888499236860189,84,15,5,"{'n_estimators': 84, 'max_features': 15, 'max_depth': 5}",0.6462585034013605,0.6173469387755102,0.6296296296296297,0.6714285714285715,0.6,0.6329327286470143,0.024486314992016027,5,0.9987914744012305,0.9996704021094265,0.9995644599303136,0.9985889503961793,1.0,0.99932305736743,0.0005401237617699208,0,1.5788772046969797
8,0.16387648582458497,0.004811315022245702,0.009612846374511718,0.0015155509647967718,135,3,11,"{'n_estimators': 135, 'max_features': 3, 'max_depth': 11}",0.6717687074829932,0.5459183673469388,0.654320987654321,0.6839285714285714,0.594642857142857,0.6301158982111363,0.052084945080620074,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,1.5870096324167409
9,0.2103708267211914,0.014836372342075917,0.010171318054199218,0.0011750739469077245,157,10,17,"{'n_estimators': 157, 'max_features': 10, 'max_depth': 17}",0.596938775510204,0.5952380952380953,0.6693121693121693,0.6875,0.5991071428571428,0.6296192365835223,0.040266052605194426,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,1.588261510919298
0,0.16637964248657228,0.0057940780618321395,0.013418960571289062,0.001464259984687683,142,2,8,"{'n_estimators': 142, 'max_features': 2, 'max_depth': 8}",0.6768707482993196,0.6054421768707483,0.6243386243386244,0.7142857142857143,0.6107142857142858,0.6463303099017385,0.04236656747506027,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.5471965103292618
1,0.12527313232421874,0.0016362195179762823,0.009262990951538087,0.0010376810928239418,108,15,1,"{'n_estimators': 108, 'max_features': 15, 'max_depth': 1}",0.6564625850340137,0.6360544217687074,0.6084656084656085,0.6446428571428572,0.5794642857142858,0.6250179516250945,0.02773020772376669,7,0.7718083937596132,0.7955394418809052,0.7378048780487805,0.75089547378704,0.7696732877455769,0.7651442950443832,0.019693956264147102,1,1.2241957099871283
2,0.23076744079589845,0.005596843971062467,0.014995956420898437,0.0005475681726633519,139,14,9,"{'n_estimators': 139, 'max_features': 14, 'max_depth': 9}",0.6564625850340137,0.5765306122448979,0.7072310405643739,0.7214285714285714,0.6660714285714286,0.6655448475686571,0.05072874559754373,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.5025283474932782
3,0.09705576896667481,0.010625109386423373,0.006798315048217774,0.0010682563539502951,80,2,17,"{'n_estimators': 80, 'max_features': 2, 'max_depth': 17}",0.6879251700680272,0.6462585034013606,0.6499118165784832,0.6857142857142857,0.5982142857142857,0.6536048122952884,0.03269440975929738,4,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,4.965068306494546e-17,1,1.5299764952590582
4,0.05395903587341309,0.00596149940012755,0.0039730072021484375,0.000636379482569962,34,10,19,"{'n_estimators': 34, 'max_features': 10, 'max_depth': 19}",0.6581632653061225,0.5246598639455782,0.5961199294532629,0.7098214285714286,0.5928571428571429,0.6163243260267071,0.06301349848995591,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.6225223600157999
5,0.07939047813415527,0.007897110239677149,0.005330610275268555,0.0011496437124470986,69,3,7,"{'n_estimators': 69, 'max_features': 3, 'max_depth': 7}",0.5986394557823129,0.5527210884353742,0.6472663139329806,0.6785714285714286,0.505357142857143,0.5965110859158479,0.06251580309105922,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.6764147785529568
6,0.1344076633453369,0.008088566473037679,0.007052183151245117,0.0014730426216445997,79,15,14,"{'n_estimators': 79, 'max_features': 15, 'max_depth': 14}",0.6292517006802721,0.5918367346938775,0.7072310405643739,0.7258928571428571,0.6178571428571429,0.6544138951877047,0.0525058587907758,3,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,4.965068306494546e-17,1,1.5280849128565208
7,0.019589710235595702,0.0013780654293310633,0.0019731044769287108,0.0003671669464532519,15,14,4,"{'n_estimators': 15, 'max_features': 14, 'max_depth': 4}",0.673469387755102,0.6088435374149659,0.6067019400352734,0.6375,0.5821428571428571,0.6217315444696396,0.03125604746987888,8,0.9768182816963304,0.987035816304109,0.9750653310104529,0.9739498534679257,0.963855421686747,0.9753449408331129,0.007387567978728941,1,1.5687557588301535
8,0.13661541938781738,0.008317880397599913,0.010693025588989259,0.002042884078855625,140,1,20,"{'n_estimators': 140, 'max_features': 1, 'max_depth': 20}",0.6428571428571428,0.6309523809523809,0.644620811287478,0.6758928571428572,0.625,0.6438646384479718,0.01760678627632704,6,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,4.965068306494546e-17,1,1.553121479711152
9,0.16453280448913574,0.0057567175164917475,0.010144996643066406,0.0021204868080170517,146,5,11,"{'n_estimators': 146, 'max_features': 5, 'max_depth': 11}",0.6802721088435374,0.6020408163265305,0.689594356261023,0.7142857142857143,0.6053571428571429,0.6583100277147895,0.045966404845679515,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.5190411172549334
0,0.18016343116760253,0.009176334070480364,0.010474777221679688,0.0018597000412191537,127,12,19,"{'n_estimators': 127, 'max_features': 12, 'max_depth': 19}",0.7134353741496597,0.6709183673469387,0.6746031746031746,0.6517857142857144,0.6008928571428572,0.662327097505669,0.036665663984315824,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2,1.5098280045705676
1,0.12339673042297364,0.009075882418247366,0.007195568084716797,0.001326514768789902,86,11,9,"{'n_estimators': 86, 'max_features': 11, 'max_depth': 9}",0.75,0.6139455782312925,0.6984126984126984,0.6517857142857143,0.6267857142857143,0.6681859410430839,0.05006427923239646,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2,1.4965894050972273
2,0.175017786026001,0.009963873935621025,0.009428596496582032,0.00144362679677413,106,15,16,"{'n_estimators': 106, 'max_features': 15, 'max_depth': 16}",0.6802721088435374,0.6411564625850339,0.6710758377425045,0.6553571428571429,0.6419642857142857,0.6579651675485009,0.015587507034085154,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2,1.5198372943143477
3,0.15050826072692872,0.014337114774801669,0.009747791290283202,0.0015406117081661,126,11,3,"{'n_estimators': 126, 'max_features': 11, 'max_depth': 3}",0.7210884353741497,0.6598639455782312,0.6049382716049383,0.65,0.5910714285714286,0.6453924162257495,0.04593005513102252,9,0.9705559217754339,0.958031201933641,0.9543771777003484,0.9759036144578312,0.9419298816889179,0.9601595595112343,0.012051942693029668,2,1.487714350791788
4,0.18724374771118163,0.012869054216060646,0.009826850891113282,0.0021634933999251623,123,14,7,"{'n_estimators': 123, 'max_features': 14, 'max_depth': 7}",0.70578231292517,0.6105442176870748,0.6966490299823633,0.6553571428571429,0.6535714285714287,0.664380826404636,0.03421102288074195,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2,1.505160835859158
5,0.14579696655273439,0.009592349578828019,0.007203054428100586,0.0007195211921500865,98,14,12,"{'n_estimators': 98, 'max_features': 14, 'max_depth': 12}",0.721938775510204,0.7227891156462585,0.6684303350970018,0.65,0.6562499999999999,0.6838816452506928,0.031976094526351126,1,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,4.965068306494546e-17,2,1.4622413204750166
6,0.1370243549346924,0.006616014444420339,0.006577014923095703,0.0011350262161056827,88,15,12,"{'n_estimators': 88, 'max_features': 15, 'max_depth': 12}",0.6947278911564626,0.6700680272108844,0.701058201058201,0.6571428571428571,0.6687500000000001,0.678349395313681,0.016699650856513776,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2,1.47416656800819
7,0.051758432388305665,0.005357366321566892,0.004056787490844727,0.0007886262215112274,46,3,17,"{'n_estimators': 46, 'max_features': 3, 'max_depth': 17}",0.657312925170068,0.608843537414966,0.6807760141093475,0.6285714285714286,0.5919642857142857,0.6334936381960192,0.03212327579067221,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2,1.578547817540315
8,0.11490864753723144,0.008585804262845165,0.007997226715087891,0.0016832775253823678,107,6,5,"{'n_estimators': 107, 'max_features': 6, 'max_depth': 5}",0.6887755102040817,0.7142857142857143,0.6790123456790125,0.6535714285714286,0.6,0.6671289997480474,0.038790853032145675,4,0.9994506701823775,0.999560536145902,0.9985844947735192,0.9993487463366982,0.9965266471290568,0.9986942189135106,0.0011367969954807604,2,1.4970031572464761
9,0.08317856788635254,0.007780330523538106,0.004444026947021484,8.434663033043407e-05,65,10,12,"{'n_estimators': 65, 'max_features': 10, 'max_depth': 12}",0.6879251700680272,0.6845238095238095,0.7098765432098766,0.6794642857142857,0.5723214285714285,0.6668222474174856,0.0483788733363036,5,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,4.965068306494546e-17,2,1.4996500249847209
