,Fixation duration PC0,Fixation duration PC1,Fixation amp PC0,Fixation amp PC1,Fixation peak_vel PC0,Fixation peak_vel PC1,Fixation avg_vel PC0,Fixation avg_vel PC1,Fixation count PC1,Pursuit duration PC0,Pursuit duration PC1,Pursuit amp PC0,Pursuit amp PC1,Pursuit peak_vel PC0,Pursuit peak_vel PC1,Pursuit avg_vel PC0,Pursuit avg_vel PC1,Pursuit count PC1,Saccade duration PC0,Saccade duration PC1,Saccade amp PC0,Saccade amp PC1,Saccade peak_vel PC0,Saccade peak_vel PC1,Saccade avg_vel PC0,Saccade avg_vel PC1,Saccade count PC1
0,0.049978129486730985,0.035645259103813554,0.032205111909900795,0.03664601768779248,0.032490384137961494,0.027975454911095696,0.04536054264882859,0.033160739270683984,0.03402724484594265,0.034573265281225236,0.04730140072905345,0.057874496496229055,0.032516705153978025,0.033809969954682655,0.038113705069885956,0.03524726916786588,0.02873859891950413,0.026935533164459926,0.036010982315249365,0.050039707127909186,0.043693368004024964,0.04655825804631692,0.03565676892358363,0.030568483372648187,0.02812620199986172,0.03394297653932058,0.03280342573145094
0,0.038655903881802414,0.03091703687596021,0.029671012538195856,0.03604446790817539,0.03221889929464547,0.03499585890712264,0.03815934458022556,0.040381913333506304,0.03171288035542183,0.0347726266079937,0.04104554486324083,0.04673981561790701,0.030528787627134294,0.04158067486010865,0.03958727916924804,0.035842008331719105,0.047812074658541724,0.03302584120176163,0.029494424022534643,0.04548212971544486,0.04812612123602002,0.041587009501316656,0.036961778168445696,0.033378290299816,0.03186933623879573,0.03126068600861991,0.038148254196295854
0,0.043133324342615846,0.0469635703555839,0.028968813188673028,0.04232552141589331,0.0364052688555578,0.032689946037899,0.038353582313911345,0.04012339071559506,0.02530585116551412,0.03398325843375548,0.0432841012714678,0.055181895862031045,0.027642111031133655,0.0437747000671787,0.037861529199929064,0.03736659208618477,0.03500741804580513,0.02293052299460708,0.038225023092691254,0.05388269565613059,0.048060508954076576,0.04117616261424733,0.02935569443408914,0.03145372388818627,0.029271755699919296,0.02547988201448728,0.031793156262836235
0,0.04236436354954453,0.035347323180271666,0.032398557731965844,0.03712851555913901,0.03478074840233888,0.034931419337989426,0.04548295102376737,0.0337104151943501,0.03547185308708066,0.03666963693731739,0.04110478442048812,0.04752967679262071,0.037439343393702744,0.03125635280933164,0.034277263796476144,0.044794526364632575,0.03502091633279469,0.03488044896631177,0.03212472697271886,0.039547977258043626,0.04666003862711865,0.0367576829123656,0.040040195342063836,0.02899516934689856,0.0347338300580289,0.03166320925099951,0.03488807335163921
0,0.03709779615734412,0.02694613207112394,0.025718810106140227,0.03195955056194559,0.032265846664010556,0.04091911026921496,0.03178968138055865,0.043879704181396015,0.037650412322776515,0.034404702206574905,0.05892534926744162,0.047592480566468864,0.030702383488044542,0.04314230441499599,0.029834884594668532,0.033288982888152276,0.035786432620897354,0.031700846557239634,0.034310210621495335,0.0513912123653462,0.05102359395732291,0.043843900723722636,0.03427156399651172,0.03324008004545614,0.02985843003691776,0.02746256857150037,0.04099302936273263
0,0.03459955819670803,0.03552641270747902,0.03724141062677721,0.03491488399118903,0.03151169200315112,0.03396619792994023,0.035226991201313444,0.03854819333931782,0.03160842356915181,0.036678874607810545,0.04384754413323383,0.049290238237557196,0.031919553509716266,0.03268337089934146,0.03936055952779198,0.03923635124033485,0.03148568961456757,0.033850187882258506,0.03236777105060588,0.046324574712012435,0.047430521506270744,0.05045185886748561,0.03250520667544312,0.03450575507608695,0.029054177075675685,0.03807135669552897,0.03779264512325069
0,0.03990050848605127,0.03569830997805935,0.02705362748132865,0.03311658002657309,0.03616410022815023,0.032846099888757176,0.04015310015294627,0.035025494006303705,0.03137586837232928,0.029259015982900954,0.041986187320657876,0.043078836091511176,0.027916804873366556,0.040482632060004804,0.036678502017569704,0.040801263763830614,0.04162039948782582,0.025919383693838737,0.031122321302226696,0.048524783143053835,0.049951042788349685,0.04344525960591642,0.038039598722173856,0.04118270257454933,0.03401096773008161,0.03997818813654095,0.03466842208510225
0,0.04912080403064854,0.02998788697250945,0.030031827970189665,0.04329224422303479,0.03539079522982098,0.039965060501242586,0.039916879808077,0.03053579909994494,0.03444931374102665,0.04375637890645442,0.03970846748432897,0.06134379823654086,0.031491107609959296,0.04365058511437422,0.03584157178793906,0.03179836525480782,0.028085893914059516,0.025711368328388932,0.03406581935324556,0.04736376150650685,0.05150730660087394,0.045449804949871324,0.024611633132838,0.0334047710643888,0.02744510356575461,0.029541816653764062,0.032531834959409124
0,0.044622620610078566,0.03080689988487543,0.03412295193042387,0.03610440050311615,0.04061248362790188,0.03767913419837087,0.04329359847706512,0.037218467296625896,0.030180783812620692,0.03422190945370792,0.04174131869443599,0.04617591618712924,0.03490356838430947,0.03741676239767115,0.03834123066306379,0.03847593400324138,0.036882724040435404,0.03166781030046189,0.03270632223937514,0.04358272277791958,0.043381140976792076,0.04224498656688866,0.03340190824027439,0.03221965369988526,0.0336432177952792,0.030648584745487636,0.03370294849256336
0,0.04914708199478701,0.031119759768336128,0.03295209338757749,0.03380892833540683,0.0370585337059496,0.03936433398828391,0.04365810838517289,0.040483262565180526,0.0371527751592403,0.03231416272593125,0.04262367467167373,0.05083111699868694,0.027626107719910864,0.040769228605458466,0.03368364421972409,0.0364591311903725,0.034036078187354955,0.028058702688843272,0.03526302531549787,0.04478414632448327,0.048126385707738376,0.037060521030124714,0.029968755905382474,0.02835683852715393,0.03712415925465684,0.029964138417447887,0.03820530521962399
